no,table_name,direction,base,count,pps,dir_0_opackets,dir_0_ipackets,dir_1_opackets,dir_1_ipackets,dir_0_obytes,dir_0_ibytes,dir_1_obytes,dir_1_ibytes,dir_0_oerrors,dir_0_ierrors,dir_1_oerrors,dir_1_ierrors,lost_0,lost_1,elapsed
137,udp64b,both,0,1,979931.3236,29398288,29346098,29398288,29343367,3939370592,3932377132,1881490432,1877975488,0,0,0,0,54921,52190,30.02391791
138,udp64b,both,0,1,979931.3236,29398288,29382337,29398288,29378520,3939370592,3937233158,1881490432,1880225280,0,0,0,0,19768,15951,30.01689386
139,udp64b,both,0,1,979435.9083,29383204,29383204,29383204,29383204,3937349336,3937349336,1880525056,1880525056,0,0,0,0,0,0,30.02257705
140,udp128b,encap,0,1,5733944.954,0,58267388,172028063,0,0,11536942824,22019592064,0,0,0,0,0,0,113760675,30.0265131
141,udp128b,encap,0,1,5733944.954,0,58128676,172028063,0,0,11509477848,22019592064,0,0,0,0,0,0,113899387,30.01767397
142,udp128b,encap,0,1,2866972.477,0,58244644,86006855,0,0,11532439512,11008877440,0,0,0,0,0,0,27762211,30.02389598
143,udp128b,encap,0,1,2866972.477,0,58208868,86006855,0,0,11525355864,11008877440,0,0,0,0,0,0,27797987,30.01576185
144,udp128b,encap,0,1,1433486.239,0,43005222,43005222,0,0,8515033956,5504668416,0,0,0,0,0,0,0,30.02539992
145,udp128b,encap,0,1,2150229.358,0,58186098,64505141,0,0,11520847404,8256658048,0,0,0,0,0,0,6319043,30.02746391
146,udp128b,encap,0,1,2150229.358,0,58202932,64505141,0,0,11524180536,8256658048,0,0,0,0,0,0,6302209,30.01563287
147,udp128b,encap,0,1,1791857.798,0,53757088,53757088,0,0,10643903424,6880907264,0,0,0,0,0,0,0,30.02003598
148,udp128b,encap,0,1,1971043.578,0,58168552,59132180,0,0,11517373296,7568919040,0,0,0,0,0,0,963628,30.012115
149,udp128b,encap,0,1,1971043.578,0,58268088,59132180,0,0,11537081424,7568919040,0,0,0,0,0,0,864092,30.01977015
150,udp128b,encap,0,1,1881450.688,0,56444648,56444648,0,0,11176040304,7224914944,0,0,0,0,0,0,0,30.02610493
151,udp128b,encap,0,1,1926247.133,0,57786308,57786308,0,0,11441688984,7396647424,0,0,0,0,0,0,0,30.02891588
152,udp128b,encap,0,1,1948645.356,0,58317755,58458127,0,0,11546915490,7482640256,0,0,0,0,0,0,140372,30.02194595
153,udp128b,encap,0,1,1948645.356,0,58239787,58458127,0,0,11531477826,7482640256,0,0,0,0,0,0,218340,30.02333307
154,udp128b,encap,0,1,1937446.244,0,58098085,58121915,0,0,11503420830,7439605120,0,0,0,0,0,0,23830,30.01810503
155,udp128b,encap,0,1,1937446.244,0,58104947,58121915,0,0,11504779506,7439605120,0,0,0,0,0,0,16968,30.02132678
156,udp128b,encap,0,1,1931846.689,0,57955255,57955255,0,0,11475140490,7418272640,0,0,0,0,0,0,0,30.02789593
157,udp128b,encap,0,1,1934646.466,0,58018723,58040099,0,0,11487707154,7429132672,0,0,0,0,0,0,21376,30.02622485
158,udp128b,encap,0,1,1934646.466,0,58028642,58040099,0,0,11489671116,7429132672,0,0,0,0,0,0,11457,30.02183008
159,udp128b,encap,0,1,1933246.578,0,57997646,57997646,0,0,11483533908,7423698688,0,0,0,0,0,0,0,30.01843381
160,udp128b,encap,0,1,1933946.522,0,58017232,58017232,0,0,11487411936,7426205696,0,0,0,0,0,0,0,30.02163601
161,udp128b,encap,0,1,1934296.494,0,58018773,58030297,0,0,11487717054,7427878016,0,0,0,0,0,0,11524,30.0214951
162,udp128b,encap,0,1,1934296.494,0,58030297,58030297,0,0,11489998806,7427878016,0,0,0,0,0,0,0,30.0148201
163,udp128b,decap,0,1,5733944.954,172028063,0,0,62773692,34061556474,0,0,8035032576,0,0,0,0,109254371,0,30.02467513
164,udp128b,decap,0,1,5733944.954,172028063,0,0,62763869,34061556474,0,0,8033775232,0,0,0,0,109264194,0,30.02460718
165,udp128b,decap,0,1,2866972.477,86006855,0,0,62461636,17029357290,0,0,7995089408,0,0,0,0,23545219,0,30.02002215
166,udp128b,decap,0,1,2866972.477,86006855,0,0,62310788,17029357290,0,0,7975780864,0,0,0,0,23696067,0,30.0174799
167,udp128b,decap,0,1,1433486.239,43005222,0,0,43005222,8515033956,0,0,5504668416,0,0,0,0,0,0,30.02382994
168,udp128b,decap,0,1,2150229.358,64505141,0,0,62758498,12772017918,0,0,8033087744,0,0,0,0,1746643,0,30.02310514
169,udp128b,decap,0,1,2150229.358,64505141,0,0,62819594,12772017918,0,0,8040908032,0,0,0,0,1685547,0,30.02341914
170,udp128b,decap,0,1,1791857.798,53757088,0,0,53757088,10643903424,0,0,6880907264,0,0,0,0,0,0,30.02911377
171,udp128b,decap,0,1,1971043.578,59132180,0,0,59132180,11708171640,0,0,7568919040,0,0,0,0,0,0,30.02196002
172,udp128b,decap,0,1,2060636.468,61820329,0,0,61820329,12240425142,0,0,7913002112,0,0,0,0,0,0,30.02248502
173,udp128b,decap,0,1,2105432.913,63161284,0,0,62679399,12505934232,0,0,8022963072,0,0,0,0,481885,0,30.02199006
174,udp128b,decap,0,1,2105432.913,63161284,0,0,62465508,12505934232,0,0,7995585024,0,0,0,0,695776,0,30.02586818
175,udp128b,decap,0,1,2083034.69,62491189,0,0,62306168,12373255422,0,0,7975189504,0,0,0,0,185021,0,30.01760387
176,udp128b,decap,0,1,2083034.69,62491189,0,0,62491189,12373255422,0,0,7998872192,0,0,0,0,0,0,30.02432394
177,udp128b,decap,0,1,2094233.802,62826364,0,0,62531924,12439620072,0,0,8004086272,0,0,0,0,294440,0,30.02811813
178,udp128b,decap,0,1,2094233.802,62826364,0,0,62558564,12439620072,0,0,8007496192,0,0,0,0,267800,0,30.01565886
179,udp128b,decap,0,1,2088634.246,62658328,0,0,62658328,12406348944,0,0,8020265984,0,0,0,0,0,0,30.01860094
180,udp128b,decap,0,1,2091434.024,62742234,0,0,62422413,12422962332,0,0,7990068864,0,0,0,0,319821,0,30.02531695
181,udp128b,decap,0,1,2091434.024,62742234,0,0,62618428,12422962332,0,0,8015158784,0,0,0,0,123806,0,30.02681184
182,udp128b,decap,0,1,2090034.135,62700253,0,0,62472141,12414650094,0,0,7996434048,0,0,0,0,228112,0,30.02355504
183,udp128b,decap,0,1,2090034.135,62700253,0,0,62680946,12414650094,0,0,8023161088,0,0,0,0,19307,0,30.02016902
184,udp128b,decap,0,1,2089334.19,62681189,0,0,62639247,12410875422,0,0,8017823616,0,0,0,0,41942,0,30.02726483
185,udp128b,decap,0,1,2089334.19,62681189,0,0,62681189,12410875422,0,0,8023192192,0,0,0,0,0,0,30.01483297
186,udp128b,decap,0,1,2089684.163,62688813,0,0,62581846,12412384974,0,0,8010476288,0,0,0,0,106967,0,30.01932693
187,udp128b,decap,0,1,2089684.163,62688813,0,0,62688813,12412384974,0,0,8024168064,0,0,0,0,0,0,30.02705097
188,udp128b,both,0,1,5733944.954,172028063,37578070,172028063,37577954,34061556474,7440457860,22019592064,4809978112,0,0,0,0,134450109,134449993,39.47487497
189,udp128b,both,0,1,5733944.954,172028063,37530308,172028063,37530180,34061556474,7431000984,22019592064,4803863040,0,0,0,0,134497883,134497755,39.47182202
190,udp128b,both,0,1,2866972.477,86006855,28540312,86006855,28541188,17029357290,5650981776,11008877440,3653272064,0,0,0,0,57465667,57466543,30.02482581
191,udp128b,both,0,1,2866972.477,86006855,28558000,86006855,28557700,17029357290,5654484000,11008877440,3655385600,0,0,0,0,57449155,57448855,30.02456903
192,udp128b,both,0,1,1433486.239,43005222,28559038,43005222,28559262,8515033956,5654689524,5504668416,3655585536,0,0,0,0,14445960,14446184,30.02020884
193,udp128b,both,0,1,1433486.239,43005222,28506346,43005222,28505578,8515033956,5644256508,5504668416,3648713984,0,0,0,0,14499644,14498876,30.02537084
194,udp128b,both,0,1,716743.1193,21502163,21502163,21502163,21502163,4257428274,4257428274,2752276864,2752276864,0,0,0,0,0,0,30.02074504
195,udp128b,both,0,1,1075114.679,32253580,28543157,32253580,28542181,6386208840,5651545086,4128458240,3653399168,0,0,0,0,3711399,3710423,30.01707315
196,udp128b,both,0,1,1075114.679,32253580,28549104,32253580,28547879,6386208840,5652722592,4128458240,3654128512,0,0,0,0,3705701,3704476,30.01881504
197,udp128b,both,0,1,895928.8991,26877843,26877843,26877843,26877843,5321812914,5321812914,3440363904,3440363904,0,0,0,0,0,0,30.02002597
198,udp128b,both,0,1,985521.789,29565242,28583299,29565242,28582172,5853917916,5659493202,3784350976,3658518016,0,0,0,0,983070,981943,30.02022004
