no,table_name,direction,base,count,pps,dir_0_opackets,dir_0_ipackets,dir_1_opackets,dir_1_ipackets,dir_0_obytes,dir_0_ibytes,dir_1_obytes,dir_1_ibytes,dir_0_oerrors,dir_0_ierrors,dir_1_oerrors,dir_1_ierrors,lost_0,lost_1,elapsed,,,,,,,
84,udp64b,encap,0,1,1014610.39,0,16437652,30438275,0,0,2202645368,1948049600,0,0,0,0,0,0,14000623,30.02540922,,,,,,,
85,udp64b,encap,0,1,507305.1948,0,15219138,15219138,0,0,2039364492,974024832,0,0,0,0,0,0,0,30.024755,,,,,,,
86,udp64b,encap,0,1,760957.7922,0,16229766,22828748,0,0,2174788644,1461039872,0,0,0,0,0,0,6598982,30.01874781,,,,,,,
87,udp64b,encap,0,1,760957.7922,0,16444996,22828748,0,0,2203629464,1461039872,0,0,0,0,0,0,6383752,30.02242303,,,,,,,
88,udp64b,encap,0,1,634131.4935,0,16454244,19023922,0,0,2204868696,1217531008,0,0,0,0,0,0,2569678,30.01615191,,,,,,,
89,udp64b,encap,0,1,634131.4935,0,16362702,19023922,0,0,2192602068,1217531008,0,0,0,0,0,0,2661220,30.02146316,,,,,,,
90,udp64b,encap,0,1,570718.3442,0,16100741,17121514,0,0,2157499294,1095776896,0,0,0,0,0,0,1020773,30.02336693,,,,,,,
91,udp64b,encap,0,1,570718.3442,0,16441268,17121514,0,0,2203129912,1095776896,0,0,0,0,0,0,680246,30.026968,,,,,,,
92,udp64b,encap,0,1,539011.7695,0,16170304,16170304,0,0,2166820736,1034899456,0,0,0,0,0,0,0,30.01599407,,,,,,,
93,udp64b,encap,0,1,554865.0568,0,16290888,16645951,0,0,2182978992,1065340864,0,0,0,0,0,0,355063,30.01858807,,,,,,,
94,udp64b,encap,0,1,554865.0568,0,16203092,16645951,0,0,2171214328,1065340864,0,0,0,0,0,0,442859,30.02782512,,,,,,,
95,udp64b,encap,0,1,546938.4131,0,16396390,16408140,0,0,2197116260,1050120960,0,0,0,0,0,0,11750,30.02515388,,,,,,,
