,,table_name,direction,base,count,pps,dir_0_opackets,dir_0_ipackets,dir_1_opackets,dir_1_ipackets,dir_0_obytes,dir_0_ibytes,dir_1_obytes,dir_1_ibytes,dir_0_oerrors,dir_0_ierrors,dir_1_oerrors,dir_1_ierrors,lost_0,lost_1,elapsed,,table,direction,pps,bps
gdp,rcu-2core,udp512b,decap,0,1,1913305.137,57400165,0,0,57400165,33406896030,0,0,29388884480,0,0,0,0,0,0,30.02550912,4096,udp512b,decap,1913305.14,"7,836,897,841"
gdp,rcu-2core,udp512b,both,0,1,1201819.74,36054290,36054290,36054290,36054290,20983596780,20983596780,18459796480,18459796480,0,0,0,0,0,0,30.03154802,4096,udp512b,both,1201819.74,"4,922,653,654"
gdp,rcu-2core,udp1024b,encap,0,1,1122151.072,0,33664016,33664016,0,0,36828433504,34471952384,0,0,0,0,0,0,0,30.03170896,8192,udp1024b,encap,1122151.07,"9,192,661,580"
gdp,rcu-2core,udp1024b,decap,0,1,1123315.342,33699234,0,0,33699234,36866961996,0,0,34508015616,0,0,0,0,0,0,30.04864097,8192,udp1024b,decap,1123315.34,"9,202,199,282"
gdp,rcu-2core,udp1024b,both,0,1,681645.9943,20449386,20449386,20449386,20449386,22371628284,22371628284,20940171264,20940171264,0,0,0,0,0,0,30.02949095,8192,udp1024b,both,681645.99,"5,584,043,986"
gdp,rcu-2core,udp1280b,encap,0,1,912408.7591,0,27372462,27372462,0,0,36952823700,35036751360,0,0,0,0,0,0,0,30.01247287,10240,udp1280b,encap,912408.76,"9,343,065,693"
gdp,rcu-2core,udp1280b,decap,0,1,913466.8503,27403753,0,0,27403753,36995066550,0,0,35076803840,0,0,0,0,0,0,30.03972697,10240,udp1280b,decap,913466.85,"9,353,900,547"
gdp,rcu-2core,udp1280b,both,0,1,563739.8601,16912095,16912095,16912095,16912095,22831328250,22831328250,21647481600,21647481600,0,0,0,0,0,0,30.01495504,10240,udp1280b,both,563739.86,"5,772,696,168"
gdp,rcu-2core,udp1518b,encap,0,1,734424.1166,0,44065072,22032536,0,0,36618074832,33445389648,0,0,0,0,0,0,-22032536,30.01227593,12144,udp1518b,encap,734424.12,"8,918,846,472"
gdp,rcu-2core,udp1518b,decap,0,1,1470508.86,44115046,0,0,22057523,36659603226,0,0,33483319914,0,0,0,0,22057523,0,30.04489207,12144,udp1518b,decap,735254.43,"8,928,929,799"
gdp,rcu-2core,udp1518b,both,0,1,599296.5319,17978882,35957448,17978724,8989441,14940450942,29880639288,27291703032,13645971438,0,0,0,0,8989441,-17978724,30.02681708,12144,udp1518b,both,399531.02,"4,851,904,722"
